sentence,video_name,video_path,exists,fps,frames,duration,width,height
are you free today,free (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (2).MP4,True,25.0,78.0,3.12,1920.0,1080.0
are you free today,free (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (3).MP4,True,25.0,98.0,3.92,1920.0,1080.0
are you free today,free (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (4).MP4,True,25.0,82.0,3.28,1920.0,1080.0
are you free today,free (5).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (5).MP4,True,25.0,117.0,4.68,1920.0,1080.0
are you free today,free.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free.MP4,True,25.0,101.0,4.04,1920.0,1080.0
are you hiding something,MVI_6209.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6209.MP4,True,25.0,95.0,3.8,1920.0,1080.0
are you hiding something,MVI_6507.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6507.MP4,True,25.0,83.0,3.32,1920.0,1080.0
are you hiding something,MVI_6685.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6685.MP4,True,25.0,87.0,3.48,1920.0,1080.0
are you hiding something,MVI_6817.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6817.MP4,True,25.0,101.0,4.04,1920.0,1080.0
are you hiding something,MVI_6958.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6958.MP4,True,25.0,106.0,4.24,1920.0,1080.0
bring water for me,bring water for me (1).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (1).MP4,True,25.0,116.0,4.64,1920.0,1080.0
bring water for me,bring water for me (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (3).MP4,True,25.0,91.0,3.64,1920.0,1080.0
bring water for me,bring water for me (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (4).MP4,True,25.0,90.0,3.6,1920.0,1080.0
bring water for me,bring water for me (5).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (5).MP4,True,25.0,98.0,3.92,1920.0,1080.0
bring water for me,bring water for me (8).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (8).MP4,True,25.0,97.0,3.88,1920.0,1080.0
can i help you,cannot help.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\cannot help.MP4,True,25.0,95.0,3.8,1920.0,1080.0
can i help you,help (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help (2).MP4,True,25.0,76.0,3.04,1920.0,1080.0
can i help you,help (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help (3).MP4,True,25.0,105.0,4.2,1920.0,1080.0
can i help you,help (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help (4).MP4,True,25.0,92.0,3.68,1920.0,1080.0
can i help you,help (5).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help (5).MP4,True,25.0,99.0,3.96,1920.0,1080.0
can i help you,help.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help.MP4,True,25.0,110.0,4.4,1920.0,1080.0
can you repeat that please,can you repeat that please (1).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (1).MP4,True,25.0,110.0,4.4,1920.0,1080.0
can you repeat that please,can you repeat that please (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (3).MP4,True,25.0,109.0,4.36,1920.0,1080.0
can you repeat that please,can you repeat that please (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (4).MP4,True,25.0,92.0,3.68,1920.0,1080.0
can you repeat that please,can you repeat that please (5).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (5).MP4,True,25.0,100.0,4.0,1920.0,1080.0
can you repeat that please,can you repeat that please (6).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (6).MP4,True,25.0,101.0,4.04,1920.0,1080.0
comb your hair,comb (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (2).MP4,True,25.0,91.0,3.64,1920.0,1080.0
comb your hair,comb (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (3).MP4,True,25.0,140.0,5.6,1920.0,1080.0
comb your hair,comb (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (4).MP4,True,25.0,98.0,3.92,1920.0,1080.0
comb your hair,comb (5).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (5).MP4,True,25.0,98.0,3.92,1920.0,1080.0
comb your hair,comb.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb.MP4,True,25.0,128.0,5.12,1920.0,1080.0
congratulations,congratulations (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (3).MP4,True,25.0,81.0,3.24,1920.0,1080.0
congratulations,congratulations (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (4).MP4,True,25.0,62.0,2.48,1920.0,1080.0
congratulations,congratulations (5).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (5).MP4,True,25.0,90.0,3.6,1920.0,1080.0
congratulations,congratulations (6).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (6).MP4,True,25.0,63.0,2.52,1920.0,1080.0
congratulations,congratulations (7).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (7).MP4,True,25.0,54.0,2.16,1920.0,1080.0
could you please talk slower,could you please talk slower (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (3).MP4,True,25.0,141.0,5.64,1920.0,1080.0
could you please talk slower,could you please talk slower (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (4).MP4,True,25.0,119.0,4.76,1920.0,1080.0
could you please talk slower,could you please talk slower (5).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (5).MP4,True,25.0,105.0,4.2,1920.0,1080.0
could you please talk slower,could you please talk slower (6).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (6).MP4,True,25.0,120.0,4.8,1920.0,1080.0
could you please talk slower,could you please talk slower (7).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (7).MP4,True,25.0,115.0,4.6,1920.0,1080.0
do me a favour,favour (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (2).MP4,True,25.0,79.0,3.16,1920.0,1080.0
do me a favour,favour (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (3).MP4,True,25.0,110.0,4.4,1920.0,1080.0
do me a favour,favour (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (4).MP4,True,25.0,87.0,3.48,1920.0,1080.0
do me a favour,favour (5).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (5).MP4,True,25.0,98.0,3.92,1920.0,1080.0
do me a favour,favour.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour.MP4,True,25.0,95.0,3.8,1920.0,1080.0
do not abuse him,abuse (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse (2).MP4,True,25.0,182.0,7.28,1920.0,1080.0
do not abuse him,abuse (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse (3).MP4,True,25.0,128.0,5.12,1920.0,1080.0
do not abuse him,abuse (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse (4).MP4,True,25.0,146.0,5.84,1920.0,1080.0
do not abuse him,abuse.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse.MP4,True,25.0,140.0,5.6,1920.0,1080.0
do not be stubborn,stubborn (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (2).MP4,True,25.0,130.0,5.2,1920.0,1080.0
do not be stubborn,stubborn (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (3).MP4,True,25.0,158.0,6.32,1920.0,1080.0
do not be stubborn,stubborn (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (4).MP4,True,25.0,122.0,4.88,1920.0,1080.0
do not be stubborn,stubborn.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn.MP4,True,25.0,115.0,4.6,1920.0,1080.0
do not hurt me,hurt me (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not hurt me\hurt me (2).MP4,True,25.0,107.0,4.28,1920.0,1080.0
do not hurt me,hurt me (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not hurt me\hurt me (3).MP4,True,25.0,84.0,3.36,1920.0,1080.0
do not hurt me,hurt me (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not hurt me\hurt me (4).MP4,True,25.0,127.0,5.08,1920.0,1080.0
do not hurt me,hurt me.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not hurt me\hurt me.MP4,True,25.0,109.0,4.36,1920.0,1080.0
do not hurt me,hurt.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not hurt me\hurt.MP4,True,25.0,89.0,3.56,1920.0,1080.0
do not make me angry,me angry (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (2).MP4,True,25.0,97.0,3.88,1920.0,1080.0
do not make me angry,me angry (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (3).MP4,True,25.0,108.0,4.32,1920.0,1080.0
do not make me angry,me angry (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (4).MP4,True,25.0,95.0,3.8,1920.0,1080.0
do not make me angry,me angry (5).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (5).MP4,True,25.0,91.0,3.64,1920.0,1080.0
do not make me angry,me angry.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry.MP4,True,25.0,100.0,4.0,1920.0,1080.0
do not take it to the heart,heart (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\heart (2).MP4,True,25.0,120.0,4.8,1920.0,1080.0
do not take it to the heart,heart (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\heart (3).MP4,True,25.0,122.0,4.88,1920.0,1080.0
do not take it to the heart,heart (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\heart (4).MP4,True,25.0,113.0,4.52,1920.0,1080.0
do not take it to the heart,heart (5).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\heart (5).MP4,True,25.0,109.0,4.36,1920.0,1080.0
do not take it to the heart,heart.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\heart.MP4,True,25.0,119.0,4.76,1920.0,1080.0
do not worry,MVI_6633.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\MVI_6633.MP4,True,25.0,105.0,4.2,1920.0,1080.0
do not worry,worry (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry (2).MP4,True,25.0,98.0,3.92,1920.0,1080.0
do not worry,worry (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry (3).MP4,True,25.0,88.0,3.52,1920.0,1080.0
do not worry,worry (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry (4).MP4,True,25.0,104.0,4.16,1920.0,1080.0
do not worry,worry.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry.MP4,True,25.0,97.0,3.88,1920.0,1080.0
do you need something,need something (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\need something (2).MP4,True,25.0,144.0,5.76,1920.0,1080.0
do you need something,need something.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\need something.MP4,True,25.0,157.0,6.28,1920.0,1080.0
do you need something,something (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\something (2).MP4,True,25.0,101.0,4.04,1920.0,1080.0
do you need something,something (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\something (3).MP4,True,25.0,140.0,5.6,1920.0,1080.0
do you need something,something.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\something.MP4,True,25.0,113.0,4.52,1920.0,1080.0
go and sleep,sleep (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (2).MP4,True,25.0,143.0,5.72,1920.0,1080.0
go and sleep,sleep (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (3).MP4,True,25.0,67.0,2.68,1920.0,1080.0
go and sleep,sleep (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (4).MP4,True,25.0,89.0,3.56,1920.0,1080.0
go and sleep,sleep (5).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (5).MP4,True,25.0,99.0,3.96,1920.0,1080.0
go and sleep,sleep (6).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (6).MP4,True,25.0,89.0,3.56,1920.0,1080.0
go and sleep,sleep.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep.MP4,True,25.0,102.0,4.08,1920.0,1080.0
had your food,food (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food (2).MP4,True,25.0,89.0,3.56,1920.0,1080.0
had your food,food (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food (3).MP4,True,25.0,87.0,3.48,1920.0,1080.0
had your food,food (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food (4).MP4,True,25.0,101.0,4.04,1920.0,1080.0
had your food,food (5).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food (5).MP4,True,25.0,93.0,3.72,1920.0,1080.0
had your food,food.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food.MP4,True,25.0,91.0,3.64,1920.0,1080.0
he came by train,train (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (2).MP4,True,25.0,99.0,3.96,1920.0,1080.0
he came by train,train (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (3).MP4,True,25.0,116.0,4.64,1920.0,1080.0
he came by train,train (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (4).MP4,True,25.0,106.0,4.24,1920.0,1080.0
he came by train,train (5).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (5).MP4,True,25.0,127.0,5.08,1920.0,1080.0
he came by train,train.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train.MP4,True,25.0,112.0,4.48,1920.0,1080.0
He is going into the room,MVI_6503.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\MVI_6503.MP4,True,25.0,130.0,5.2,1920.0,1080.0
He is going into the room,room (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\room (2).MP4,True,25.0,146.0,5.84,1920.0,1080.0
He is going into the room,room (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\room (3).MP4,True,25.0,114.0,4.56,1920.0,1080.0
